dataset_id,table,level,unit,n_classes,total,min,max,mean,median,p10,p25,p75,p90,p95,p99,ratio_max_min,n_classes_eq1,n_classes_lt5,n_classes_lt10,n_classes_lt20,pct_classes_lt10,pct_samples_in_top10pct_classes,n_classes_covering_50pct_samples,gini
gbif,colombia_stillimage_records,species,observations,2827,17092,1,1156,6.05,2.0,1.0,1.0,4.0,9.0,19.0,74.65999999999804,1156.0,1309,2231,2555,2691,90.38,66.38,99,0.7189
gbif,colombia_stillimage_records,genus,observations,1148,20721,1,1356,18.05,3.0,1.0,1.0,10.0,35.0,68.0,259.4199999999996,1356.0,358,676,845,966,73.61,72.24,38,0.8008
gbif,colombia_stillimage_records,family,observations,324,21149,1,1425,65.27,7.0,1.0,2.0,40.25,173.39999999999998,327.1499999999993,909.619999999998,1425.0,64,133,183,212,56.48,70.95,15,0.817
mushroom_observer,fungi_all_observations,species,observations,17986,371283,1,2578,20.64,3.0,1.0,1.0,10.0,40.0,96.0,335.15000000000146,2578.0,6240,11016,13393,15003,74.46,75.9,566,0.8232
mushroom_observer,fungi_all_observations,genus,observations,2364,546379,1,28317,231.12,11.0,1.0,2.0,75.0,386.8000000000011,889.0,4320.919999999998,28317.0,422,865,1128,1380,47.72,84.49,41,0.8951
mushroom_observer,fungi_all_observations,family,observations,490,541716,1,40511,1105.54,44.0,1.0,6.0,449.5,2590.1000000000013,5544.0499999999965,16096.38000000002,40511.0,59,102,144,193,29.39,78.75,16,0.8696
mushroom_observer,fungi_all_images,species,images,17508,1178318,1,6974,67.3,11.0,2.0,4.0,39.0,140.0,306.0,998.0,6974.0,1003,4659,8003,10961,45.71,72.12,650,0.8042
mushroom_observer,fungi_all_images,species,observations,17508,356070,1,2479,20.34,3.0,1.0,1.0,10.0,39.0,94.0,331.0,2479.0,5978,10701,13062,14644,74.61,75.67,555,0.8212
mushroom_observer,fungi_all_images,genus,images,2341,1729048,1,101154,738.59,43.0,3.0,9.0,248.0,1150.0,2870.0,14219.599999999977,101154.0,89,330,587,864,25.07,84.04,39,0.8911
mushroom_observer,fungi_all_images,genus,observations,2341,527852,1,27633,225.48,11.0,1.0,2.0,72.0,376.0,870.0,4225.4,27633.0,423,850,1120,1373,47.84,84.5,41,0.8948
mushroom_observer,fungi_all_images,family,images,486,1724599,1,130792,3548.56,167.0,5.5,24.5,1473.75,8470.0,15957.25,51922.44999999979,130792.0,12,41,71,107,14.61,79.75,15,0.8716
mushroom_observer,fungi_all_images,family,observations,486,523605,1,39263,1077.38,43.0,1.0,6.0,430.25,2503.5,5351.25,15399.049999999956,39263.0,58,103,142,191,29.22,78.93,16,0.8693
mushroom_observer,fungi_colombia_observations,species,observations,592,2485,1,63,4.2,1.0,1.0,1.0,4.0,10.0,16.449999999999932,38.0,63.0,301,465,526,570,88.85,52.47,55,0.6129
mushroom_observer,fungi_colombia_observations,genus,observations,487,11264,1,441,23.13,4.0,1.0,1.0,14.5,53.400000000000375,119.7,341.2399999999998,441.0,155,256,330,391,67.76,69.99,23,0.7906
mushroom_observer,fungi_colombia_observations,family,observations,191,11105,1,1392,58.14,7.0,1.0,1.0,36.5,157.0,292.5,729.0999999999992,1392.0,50,79,104,120,54.45,68.49,10,0.8024
mushroom_observer,fungi_colombia_images,species,images,589,8617,1,266,14.63,6.0,2.0,3.0,14.0,37.0,52.60000000000002,132.5200000000001,266.0,42,234,376,474,63.84,49.84,60,0.6266
mushroom_observer,fungi_colombia_images,species,observations,589,2474,1,63,4.2,1.0,1.0,1.0,4.0,10.0,16.600000000000023,38.0,63.0,302,462,524,567,88.96,52.22,54,0.6136
mushroom_observer,fungi_colombia_images,genus,images,481,34144,1,1249,70.99,12.0,2.0,4.0,46.0,180.0,376.0,1006.5999999999996,1249.0,19,127,219,288,45.53,68.75,24,0.7867
mushroom_observer,fungi_colombia_images,genus,observations,481,11219,1,441,23.32,4.0,1.0,1.0,15.0,60.0,119.0,341.3999999999998,441.0,153,251,324,385,67.36,70.11,23,0.7897
mushroom_observer,fungi_colombia_images,family,images,189,33722,1,4209,178.42,20.0,2.0,5.0,119.0,489.2000000000014,853.9999999999999,2313.480000000001,4209.0,9,44,66,90,34.92,68.15,11,0.8031
mushroom_observer,fungi_colombia_images,family,observations,189,11064,1,1390,58.54,8.0,1.0,1.0,37.0,157.80000000000015,295.3999999999997,731.6800000000006,1390.0,49,79,102,118,53.97,67.21,10,0.8015
df20,train+public_test,species,images,1577,295906,31,1913,187.64,101.0,38.0,53.0,223.0,456.2000000000003,659.1999999999998,1041.4400000000003,61.7,0,0,0,0,0.0,38.91,241,0.523
df20,train+public_test,species,observations,1577,177150,5,1119,112.33,59.0,20.0,31.0,137.0,275.0,403.1999999999998,622.6400000000001,223.8,0,0,7,138,0.44,39.52,236,0.5358
df20,train+public_test,genus,images,566,295938,31,11370,522.86,176.5,43.5,74.0,540.25,1193.5,2170.75,4827.250000000019,366.8,0,0,0,0,0.0,53.47,49,0.6723
df20,train+public_test,genus,observations,566,177170,9,6588,313.02,109.0,23.0,42.0,333.5,779.0,1223.25,2969.5000000000055,732.0,0,0,1,33,0.18,53.04,51,0.6734
df20,train+public_test,family,images,189,293305,31,19144,1551.88,350.0,56.0,99.0,1292.0,4040.4,8230.8,15711.0,617.5,0,0,0,0,0.0,60.57,13,0.7389
df20,train+public_test,family,observations,189,175508,10,11038,928.61,236.0,32.0,60.0,826.0,2404.2000000000007,4835.2,9172.32,1103.8,0,0,0,7,0.0,58.81,14,0.7312
