dataset_id,table,level,taxon,n_images,n_observations
fungitastic,full/Train,species,Psathyrella piluliformis,697.0,390.0
fungitastic,full/Train,species,Agaricus xanthodermus,690.0,358.0
fungitastic,full/Train,species,Peniophora quercina,687.0,473.0
fungitastic,full/Train,species,Macrolepiota procera,686.0,375.0
fungitastic,full/Train,species,Polyporus tuberaster,685.0,338.0
fungitastic,full/Train,species,Geastrum michelianum,684.0,419.0
fungitastic,full/Train,species,Trametes ochracea,682.0,355.0
fungitastic,full/Train,species,Nectria cinnabarina,681.0,452.0
fungitastic,full/Train,species,Russula cyanoxantha,678.0,353.0
fungitastic,full/Train,species,Coprinopsis atramentaria,674.0,377.0
fungitastic,full/Train,species,Bjerkandera fumosa,670.0,285.0
fungitastic,full/Train,species,Clitocybe fragrans,669.0,398.0
fungitastic,full/Train,species,Laccaria proxima,669.0,349.0
fungitastic,full/Train,species,Agaricus arvensis,667.0,318.0
fungitastic,full/Train,species,Megacollybia platyphylla,663.0,339.0
fungitastic,full/Train,species,Calocera cornea,661.0,460.0
fungitastic,full/Train,species,Caloboletus radicans,657.0,332.0
fungitastic,full/Train,species,Lactarius quietus,648.0,345.0
fungitastic,full/Train,species,Rickenella fibula,647.0,402.0
fungitastic,full/Train,species,Ischnoderma benzoinum,643.0,345.0
fungitastic,full/Train,species,Tricholoma sulphureum,634.0,386.0
fungitastic,full/Train,species,Mycena epipterygia,631.0,353.0
fungitastic,full/Train,species,Lenzites betulinus,627.0,356.0
fungitastic,full/Train,species,Phloeomana speirea,625.0,287.0
fungitastic,full/Train,species,Cantharellus cibarius,624.0,436.0
fungitastic,full/Train,species,Tubifera ferruginosa,624.0,384.0
fungitastic,full/Train,species,Marasmius rotula,622.0,364.0
fungitastic,full/Train,species,Evernia prunastri,617.0,485.0
fungitastic,full/Train,species,Volvopluteus gloiocephalus,617.0,314.0
fungitastic,full/Train,species,Agaricus impudicus,617.0,282.0
fungitastic,full/Train,species,Ramalina fastigiata,609.0,498.0
fungitastic,full/Train,species,Myxarium nucleatum,608.0,429.0
fungitastic,full/Train,species,Postia ptychogaster,605.0,353.0
fungitastic,full/Train,species,Pseudohydnum gelatinosum,604.0,366.0
fungitastic,full/Train,species,Tapinella atrotomentosa,602.0,352.0
fungitastic,full/Train,species,Pleurotus pulmonarius,602.0,325.0
fungitastic,full/Train,species,Collybiopsis confluens,601.0,351.0
fungitastic,full/Train,species,Xylodon subtropicus,601.0,336.0
fungitastic,full/Train,species,Exidia thuretiana,593.0,417.0
fungitastic,full/Train,species,Russula vesca,593.0,312.0
fungitastic,full/Train,species,Suillus luteus,592.0,320.0
fungitastic,full/Train,species,Kretzschmaria deusta,588.0,384.0
fungitastic,full/Train,species,Hypholoma capnoides,587.0,330.0
fungitastic,full/Train,species,Hygrocybe chlorophana,586.0,362.0
fungitastic,full/Train,species,Calycina citrina,582.0,345.0
fungitastic,full/Train,species,Lactarius deterrimus,582.0,334.0
fungitastic,full/Train,species,Agaricus augustus,582.0,292.0
fungitastic,full/Train,species,Tricholoma terreum,580.0,355.0
fungitastic,full/Train,species,Thelephora terrestris,579.0,356.0
fungitastic,full/Train,species,Hygrocybe punicea,574.0,348.0
fungitastic,full/Train,species,Otidea onotica,568.0,329.0
fungitastic,full/Train,species,Mycena tintinnabulum,567.0,315.0
fungitastic,full/Train,species,Tylopilus felleus,566.0,335.0
fungitastic,full/Train,species,Agrocybe praecox,564.0,272.0
fungitastic,full/Train,species,Boletus reticulatus,561.0,298.0
fungitastic,full/Train,species,Lentinus substrictus,561.0,273.0
fungitastic,full/Train,species,Infundibulicybe geotropa,560.0,291.0
fungitastic,full/Train,species,Hypogymnia physodes,558.0,427.0
fungitastic,full/Train,species,Gymnopus dryophilus,557.0,320.0
fungitastic,full/Train,species,Lepista personata,557.0,314.0
fungitastic,full/Train,species,Lycoperdon nigrescens,555.0,377.0
fungitastic,full/Train,species,Amanita pantherina,551.0,305.0
fungitastic,full/Train,species,Panaeolus papilionaceus,549.0,283.0
fungitastic,full/Train,species,Aleuria aurantia,547.0,337.0
fungitastic,full/Train,species,Xylaria longipes,543.0,365.0
fungitastic,full/Train,species,Trichaptum abietinum,543.0,306.0
fungitastic,full/Train,species,Physcia tenella,541.0,474.0
fungitastic,full/Train,species,Leucoagaricus nympharum,538.0,300.0
fungitastic,full/Train,species,Coprinopsis lagopus,536.0,309.0
fungitastic,full/Train,species,Pholiota gummosa,535.0,276.0
fungitastic,full/Train,species,Chalciporus piperatus,534.0,302.0
fungitastic,full/Train,species,Lecanora chlarotera,533.0,427.0
fungitastic,full/Train,species,Rhodocollybia maculata,529.0,290.0
fungitastic,full/Train,species,Cortinarius elatior,529.0,267.0
fungitastic,full/Train,species,Fuligo septica,528.0,368.0
fungitastic,full/Train,species,Steccherinum ochraceum,528.0,314.0
fungitastic,full/Train,species,Lactarius necator,528.0,293.0
fungitastic,full/Train,species,Protostropharia semiglobata,528.0,268.0
fungitastic,full/Train,species,Hypoxylon petriniae,526.0,341.0
fungitastic,full/Train,species,Collybiopsis peronata,523.0,259.0
fungitastic,full/Train,species,Parasola conopilea,522.0,308.0
fungitastic,full/Train,species,Echinoderma asperum,521.0,259.0
fungitastic,full/Train,species,Jackrogersella cohaerens,518.0,354.0
fungitastic,full/Train,species,Ascocoryne cylichnium,518.0,343.0
fungitastic,full/Train,species,Xylaria polymorpha,518.0,293.0
fungitastic,full/Train,species,Coniophora puteana,514.0,280.0
fungitastic,full/Train,species,Helvella lacunosa,512.0,320.0
fungitastic,full/Train,species,Lecidella elaeochroma,508.0,359.0
fungitastic,full/Train,species,Crucibulum crucibuliforme,505.0,293.0
fungitastic,full/Train,species,Hydnoporia tabacina,503.0,306.0
fungitastic,full/Train,species,Cordyceps militaris,502.0,380.0
fungitastic,full/Train,species,Panaeolina foenisecii,502.0,273.0
fungitastic,full/Train,species,Amanita phalloides,501.0,287.0
fungitastic,full/Train,species,Hygrocybe acutoconica,500.0,262.0
fungitastic,full/Train,species,Lactarius subdulcis,494.0,259.0
fungitastic,full/Train,species,Lactarius pubescens,494.0,251.0
fungitastic,full/Train,species,Lycoperdon excipuliforme,493.0,308.0
fungitastic,full/Train,species,Pluteus salicinus,492.0,235.0
fungitastic,full/Train,species,Hericium coralloides,491.0,298.0
fungitastic,full/Train,species,Strobilomyces strobilaceus,491.0,293.0
fungitastic,full/Train,species,Gliophorus laetus,484.0,320.0
fungitastic,full/Train,species,Cortinarius anserinus,482.0,249.0
fungitastic,full/Train,species,Caloboletus calopus,479.0,262.0
fungitastic,full/Train,species,Hydnum repandum,476.0,289.0
fungitastic,full/Train,species,Calcipostia guttulata,476.0,255.0
fungitastic,full/Train,species,Hortiboletus bubalinus,476.0,216.0
fungitastic,full/Train,species,Lyophyllum decastes,475.0,280.0
fungitastic,full/Train,species,Neoantrodia serialis,474.0,248.0
fungitastic,full/Train,species,Mycena galopus,467.0,240.0
fungitastic,full/Train,species,Mycena vitilis,467.0,225.0
fungitastic,full/Train,species,Bulgaria inquinans,461.0,281.0
fungitastic,full/Train,species,Pholiota adiposa,461.0,264.0
fungitastic,full/Train,species,Typhula fistulosa,457.0,312.0
fungitastic,full/Train,species,Pithya vulgaris,455.0,276.0
fungitastic,full/Train,species,Hortiboletus rubellus,455.0,224.0
fungitastic,full/Train,species,Lactarius rufus,454.0,243.0
fungitastic,full/Train,species,Sparassis crispa,453.0,350.0
fungitastic,full/Train,species,Leotia lubrica,452.0,340.0
fungitastic,full/Train,species,Armillaria mellea,452.0,244.0
fungitastic,full/Train,species,Agaricus sylvicola,451.0,202.0
fungitastic,full/Train,species,Mensularia nodulosa,450.0,258.0
fungitastic,full/Train,species,Bispora pallescens,449.0,302.0
fungitastic,full/Train,species,Leucoagaricus leucothites,449.0,206.0
fungitastic,full/Train,species,Xerocomellus cisalpinus,447.0,183.0
fungitastic,full/Train,species,Tricholoma argyraceum,446.0,262.0
fungitastic,full/Train,species,Hapalopilus rutilans,445.0,222.0
fungitastic,full/Train,species,Strobilurus esculentus,443.0,249.0
fungitastic,full/Train,species,Baeospora myosura,441.0,265.0
fungitastic,full/Train,species,Bovistella utriformis,438.0,263.0
fungitastic,full/Train,species,Butyriboletus appendiculatus,438.0,224.0
fungitastic,full/Train,species,Phlyctis argena,436.0,293.0
fungitastic,full/Train,species,Hygrocybe cantharellus,436.0,248.0
fungitastic,full/Train,species,Suillus granulatus,436.0,248.0
fungitastic,full/Train,species,Russula paludosa,433.0,231.0
fungitastic,full/Train,species,Collybiopsis ramealis,432.0,207.0
fungitastic,full/Train,species,Eutypa spinosa,429.0,278.0
fungitastic,full/Train,species,Mycena pelianthina,428.0,233.0
fungitastic,full/Train,species,Mycena polygramma,425.0,212.0
fungitastic,full/Train,species,Russula rosea,424.0,260.0
fungitastic,full/Train,species,Cortinarius malicorius,423.0,255.0
fungitastic,full/Train,species,Pseudoinonotus dryadeus,423.0,219.0
fungitastic,full/Train,species,Craterellus cornucopioides,421.0,290.0
fungitastic,full/Train,species,Scleroderma verrucosum,417.0,234.0
fungitastic,full/Train,species,Cortinarius largus,414.0,194.0
fungitastic,full/Train,species,Abortiporus biennis,414.0,187.0
fungitastic,full/Train,species,Suillus cavipes,413.0,214.0
fungitastic,full/Train,species,Calvatia gigantea,412.0,305.0
fungitastic,full/Train,species,Serpula himantioides,412.0,246.0
fungitastic,full/Train,species,Lactarius tabidus,411.0,223.0
fungitastic,full/Train,species,Cortinarius torvus,410.0,255.0
fungitastic,full/Train,species,Physcia adscendens,407.0,344.0
fungitastic,full/Train,species,Mutinus caninus,405.0,305.0
fungitastic,full/Train,species,Crepidotus cesatii,405.0,214.0
fungitastic,full/Train,species,Gomphidius glutinosus,404.0,245.0
fungitastic,full/Train,species,Ramalina farinacea,403.0,308.0
fungitastic,full/Train,species,Agaricus bitorquis,401.0,219.0
fungitastic,full/Train,species,Ganoderma lucidum,398.0,221.0
fungitastic,full/Train,species,Phaeoclavulina eumorpha,397.0,267.0
fungitastic,full/Train,species,Hypholoma lateritium,397.0,230.0
fungitastic,full/Train,species,Pycnoporellus fulgens,397.0,228.0
fungitastic,full/Train,species,Ganoderma adspersum,397.0,174.0
fungitastic,full/Train,species,Lycoperdon pratense,393.0,223.0
fungitastic,full/Train,species,Vuilleminia comedens,392.0,278.0
fungitastic,full/Train,species,Xerocomellus porosporus,392.0,200.0
fungitastic,full/Train,species,Skeletocutis amorpha,391.0,230.0
fungitastic,full/Train,species,Clavulinopsis corniculata,390.0,280.0
fungitastic,full/Train,species,Protoparmeliopsis muralis,388.0,283.0
fungitastic,full/Train,species,Mycena leptocephala,388.0,213.0
fungitastic,full/Train,species,Picipes badius,387.0,206.0
fungitastic,full/Train,species,Deconica horizontalis,386.0,216.0
fungitastic,full/Train,species,Suillus variegatus,385.0,176.0
fungitastic,full/Train,species,Suillus bovinus,383.0,212.0
fungitastic,full/Train,species,Hypoxylon fuscum,382.0,234.0
fungitastic,full/Train,species,Agrocybe pediades,382.0,216.0
fungitastic,full/Train,species,Mycena pseudocorticola,382.0,209.0
fungitastic,full/Train,species,Diatrype disciformis,381.0,239.0
fungitastic,full/Train,species,Inocybe geophylla,379.0,237.0
fungitastic,full/Train,species,Lactarius helvus,379.0,197.0
fungitastic,full/Train,species,Xylaria carpophila,378.0,317.0
fungitastic,full/Train,species,Tricholoma ustale,378.0,232.0
fungitastic,full/Train,species,Panellus mitis,377.0,197.0
fungitastic,full/Train,species,Russula xerampelina,376.0,200.0
fungitastic,full/Train,species,Leccinum versipelle,376.0,196.0
fungitastic,full/Train,species,Rhytisma acerinum,375.0,276.0
fungitastic,full/Train,species,Russula depallens,373.0,205.0
fungitastic,full/Train,species,Chlorophyllum rhacodes,373.0,173.0
fungitastic,full/Train,species,Lyomyces sambuci,371.0,299.0
fungitastic,full/Train,species,Chlorociboria aeruginascens,369.0,226.0
fungitastic,full/Train,species,Hygrocybe insipida,368.0,218.0
fungitastic,full/Train,species,Russula solaris,368.0,214.0
fungitastic,full/Train,species,Phellinus populicola,368.0,175.0
fungitastic,full/Train,species,Infundibulicybe gibba,367.0,211.0
fungitastic,full/Train,species,Russula olivacea,366.0,219.0
fungitastic,full/Train,species,Lactarius deliciosus,366.0,205.0
fungitastic,full/Train,species,Amanita virosa,365.0,231.0
fungitastic,full/Train,species,Mycena inclinata,365.0,225.0
fungitastic,full/Train,species,Hypholoma marginatum,363.0,244.0
fungitastic,full/Train,species,Candelariella vitellina,363.0,227.0
fungitastic,full/Train,species,Cantharellus pallens,363.0,225.0
fungitastic,full/Train,species,Auriscalpium vulgare,362.0,241.0
fungitastic,full/Train,species,Dacrymyces lacrymalis,362.0,218.0
fungitastic,full/Train,species,Hygrophorus eburneus,359.0,236.0
fungitastic,full/Train,species,Phaeolepiota aurea,353.0,199.0
fungitastic,full/Train,species,Cladonia portentosa,352.0,241.0
fungitastic,full/Train,species,Cladonia floerkeana,352.0,211.0
fungitastic,full/Train,species,Mycena sanguinolenta,350.0,207.0
fungitastic,full/Train,species,Gliophorus irrigatus,350.0,206.0
fungitastic,full/Train,species,Phellinopsis conchata,350.0,187.0
fungitastic,full/Train,species,Clitocybe metachroa,349.0,200.0
fungitastic,full/Train,species,Peziza varia,348.0,199.0
fungitastic,full/Train,species,Peltigera hymenina,348.0,137.0
fungitastic,full/Train,species,Hygrocybe reidii,345.0,208.0
fungitastic,full/Train,species,Psilocybe coronilla,345.0,200.0
fungitastic,full/Train,species,Phaeophyscia orbicularis,344.0,239.0
fungitastic,full/Train,species,Ceratiomyxa fruticulosa,344.0,212.0
fungitastic,full/Train,species,Arrhenia retiruga,344.0,208.0
fungitastic,full/Train,species,Cyanosporus alni,344.0,177.0
fungitastic,full/Train,species,Hygrophorus pustulatus,343.0,235.0
fungitastic,full/Train,species,Entoloma clypeatum,343.0,174.0
fungitastic,full/Train,species,Amanita porphyria,343.0,172.0
fungitastic,full/Train,species,Amanita citrina,340.0,179.0
fungitastic,full/Train,species,Cyathus striatus,338.0,225.0
fungitastic,full/Train,species,Physisporinus vitreus,338.0,185.0
fungitastic,full/Train,species,Russula recondita,335.0,197.0
fungitastic,full/Train,species,Glaucomaria rupicola,334.0,215.0
fungitastic,full/Train,species,Scutellinia scutellata,334.0,185.0
fungitastic,full/Train,species,Trichoderma europaeum,334.0,182.0
fungitastic,full/Train,species,Oxyporus populinus,334.0,155.0
fungitastic,full/Train,species,Cortinarius bolaris,333.0,196.0
fungitastic,full/Train,species,Cladonia scabriuscula,331.0,205.0
fungitastic,full/Train,species,Russula atropurpurea,331.0,194.0
fungitastic,full/Train,species,Tricholoma fulvum,329.0,212.0
fungitastic,full/Train,species,Lentinellus ursinus,329.0,164.0
fungitastic,full/Train,species,Phaeotremella frondosa,325.0,202.0
fungitastic,full/Train,species,Daedalea xantha,325.0,158.0
fungitastic,full/Train,species,Lactarius pyrogalus,324.0,203.0
fungitastic,full/Train,species,Macrolepiota mastoidea,322.0,141.0
fungitastic,full/Train,species,Melanelixia subaurifera,321.0,205.0
fungitastic,full/Train,species,Grifola frondosa,321.0,175.0
fungitastic,full/Train,species,Tyromyces lacteus,321.0,170.0
fungitastic,full/Train,species,Phellinus igniarius,320.0,200.0
fungitastic,full/Train,species,Craterellus undulatus,318.0,212.0
fungitastic,full/Train,species,Lactarius pallidus,317.0,206.0
fungitastic,full/Train,species,Aspropaxillus giganteus,317.0,152.0
fungitastic,full/Train,species,Steccherinum fimbriatum,316.0,217.0
fungitastic,full/Train,species,Cortinarius alboviolaceus,316.0,188.0
fungitastic,full/Train,species,Radulomyces confluens,315.0,223.0
fungitastic,full/Train,species,Russula violeipes,315.0,171.0
fungitastic,full/Train,species,Glutinoglossum glutinosum,315.0,157.0
fungitastic,full/Train,species,Chromocyphella muscicola,311.0,129.0
fungitastic,full/Train,species,Pleurotus dryinus,310.0,152.0
fungitastic,full/Train,species,Encoelia furfuracea,306.0,180.0
fungitastic,full/Train,species,Cladonia furcata,306.0,172.0
fungitastic,full/Train,species,Ochrolechia frigida,306.0,153.0
fungitastic,full/Train,species,Lichenomphalia umbellifera,305.0,178.0
fungitastic,full/Train,species,Resupinatus trichotis,305.0,140.0
fungitastic,full/Train,species,Russula queletii,303.0,194.0
fungitastic,full/Train,species,Paragymnopus perforans,301.0,186.0
fungitastic,full/Train,species,Mycena metata,300.0,151.0
fungitastic,full/Train,species,Rickenella swartzii,299.0,186.0
fungitastic,full/Train,species,Tulostoma brumale,299.0,178.0
fungitastic,full/Train,species,Lepiota magnispora,297.0,153.0
fungitastic,full/Train,species,Leccinum variicolor,295.0,158.0
fungitastic,full/Train,species,Discina ancilis,294.0,180.0
fungitastic,full/Train,species,Ampulloclitocybe clavipes,292.0,182.0
fungitastic,full/Train,species,Leucocybe connata,292.0,159.0
fungitastic,full/Train,species,Daldinia concentrica,291.0,122.0
fungitastic,full/Train,species,Stereum sanguinolentum,290.0,209.0
fungitastic,full/Train,species,Exidia recisa,290.0,204.0
fungitastic,full/Train,species,Pluteus umbrosus,290.0,151.0
fungitastic,full/Train,species,Erysiphe alphitoides,289.0,207.0
fungitastic,full/Train,species,Pseudevernia furfuracea,289.0,193.0
fungitastic,full/Train,species,Deconica montana,289.0,184.0
fungitastic,full/Train,species,Diatrype decorticata,288.0,176.0
fungitastic,full/Train,species,Russula chloroides,288.0,175.0
fungitastic,full/Train,species,Russula claroflava,288.0,165.0
fungitastic,full/Train,species,Lactarius torminosus,287.0,153.0
fungitastic,full/Train,species,Tricholoma sciodes,286.0,176.0
fungitastic,full/Train,species,Mycena aetites,286.0,169.0
fungitastic,full/Train,species,Russula foetens,286.0,169.0
fungitastic,full/Train,species,Atheniella flavoalba,285.0,162.0
fungitastic,full/Train,species,Lachnum virgineum,284.0,128.0
fungitastic,full/Train,species,Mycena arcangeliana,283.0,125.0
fungitastic,full/Train,species,Meruliopsis taxicola,280.0,171.0
fungitastic,full/Train,species,Calloria urticae,279.0,214.0
fungitastic,full/Train,species,Lentinellus cochleatus,279.0,168.0
fungitastic,full/Train,species,Gymnopus fusipes,279.0,167.0
fungitastic,full/Train,species,Tubaria conspersa,278.0,154.0
fungitastic,full/Train,species,Cladonia fimbriata,277.0,167.0
fungitastic,full/Train,species,Cladonia ramulosa,277.0,140.0
fungitastic,full/Train,species,Russula fragilis,277.0,134.0
fungitastic,full/Train,species,Erythricium aurantiacum,276.0,204.0
fungitastic,full/Train,species,Inonotus cuticularis,276.0,123.0
fungitastic,full/Train,species,Scytinostroma hemidichophyticum,274.0,180.0
fungitastic,full/Train,species,Cladonia diversa,273.0,191.0
fungitastic,full/Train,species,Gloeophyllum odoratum,273.0,160.0
fungitastic,full/Train,species,Psathyrella spadiceogrisea,273.0,157.0
fungitastic,full/Train,species,Cladonia rangiformis,273.0,151.0
fungitastic,full/Train,species,Cyanoboletus pulverulentus,273.0,134.0
fungitastic,full/Train,species,Dermoloma cuneifolium,272.0,168.0
fungitastic,full/Train,species,Paxillus obscurisporus,272.0,121.0
fungitastic,full/Train,species,Physcia caesia,271.0,193.0
fungitastic,full/Train,species,Russula nobilis,269.0,155.0
